Spanish,English Translation - Meaning in English.,French Translation - Meaning in French.,Italian Translation - Meaning in Italian.,Portuguese Translation - Meaning in Portuguese.,Spanish Sentence - Story sentence using the verb in Spanish.,English Sentence - Translation of the story sentence in English.,French Sentence - Translation of the story sentence in French.,Italian Sentence - Translation of the story sentence in Italian.,Portuguese Sentence - Translation of the story sentence in Portuguese.
motivar,to motivate,motiver,motivare,motivar,El canguro motiva a los niños a mantenerse activos saltando con ellos.,The kangaroo motivates the children to stay active by jumping with them.,Le kangourou motive les enfants à rester actifs en sautant avec eux.,Il canguro motiva i bambini a rimanere attivi saltando con loro.,O canguru motiva as crianças a se manterem ativas pulando com elas.
evitar,to avoid,éviter,evitare,evitar,Hablan sobre cómo evitar comer demasiados dulces.,They talk about how to avoid eating too many sweets.,Ils parlent de comment éviter de manger trop de sucreries.,Parlano di come evitare di mangiare troppi dolci.,Falam sobre como evitar comer muitos doces.
decidir,to decide,décider,decidere,decidir,Deciden que el próximo proyecto será crear un jardín comunitario.,They decide that the next project will be to create a community garden.,Ils décident que le prochain projet sera de créer un jardin communautaire.,Decidono che il prossimo progetto sarà creare un giardino comunitario.,Decidem que o próximo projeto será criar um jardim comunitário.
apoyar,to support,soutenir,supportare,apoiar,Todos se apoyan mutuamente en los desafíos de sus entrenamientos.,They all support each other in their training challenges.,Ils se soutiennent mutuellement dans les défis de leurs entraînements.,Si supportano a vicenda nelle sfide degli allenamenti.,Todos se apoiam nos desafios dos seus treinos.
confiar,to trust,faire confiance,fidarsi,confiar,Los niños confían en que el canguro conoce el mejor camino por el bosque.,The children trust that the kangaroo knows the best path through the forest.,Les enfants font confiance au kangourou pour connaître le meilleur chemin dans la forêt.,I bambini si fidano che il canguro conosca il miglior sentiero nella foresta.,As crianças confiam que o canguru conhece o melhor caminho pela floresta.
reparar,to repair,réparer,riparare,reparar,El castor repara el puente roto para que todos puedan cruzar.,The beaver repairs the broken bridge so everyone can cross.,Le castor répare le pont cassé pour que tout le monde puisse traverser.,Il castoro ripara il ponte rotto per permettere a tutti di attraversare.,O castor repara a ponte quebrada para que todos possam atravessar.
desarrollar,to develop,développer,sviluppare,desenvolver,Deciden desarrollar nuevas recetas saludables con frutas locales.,They decide to develop new healthy recipes with local fruits.,Ils décident de développer de nouvelles recettes saines avec des fruits locaux.,Decidono di sviluppare nuove ricette sane con frutta locale.,Decidem desenvolver novas receitas saudáveis com frutas locais.
olvidar,to forget,oublier,dimenticare,esquecer,Curb Appeall nunca olvida dar las gracias a sus amigos por su ayuda.,Curb Appeall never forgets to thank his friends for their help.,Curb Appeall n'oublie jamais de remercier ses amis pour leur aide.,Curb Appeall non dimentica mai di ringraziare i suoi amici per il loro aiuto.,Curb Appeall nunca esquece de agradecer aos amigos pela ajuda.
ganar,to win,gagner,vincere,ganhar,Ganan el primer lugar en la competencia de cocina saludable.,They win first place in the healthy cooking competition.,Ils gagnent la première place du concours de cuisine saine.,Vincono il primo posto nella competizione di cucina sana.,Ganham o primeiro lugar no concurso de culinária saudável.
perder,to lose,perdre,perdere,perder,"A pesar de perder el mapa, logran encontrar el camino juntos.","Despite losing the map, they manage to find the way together.","Bien qu'ils aient perdu la carte, ils réussissent à trouver leur chemin ensemble.","Nonostante abbiano perso la mappa, riescono a trovare la strada insieme.","Apesar de perderem o mapa, conseguem encontrar o caminho juntos."
medir,to measure,mesurer,misurare,medir,Usan una regla para medir cuánto ha crecido la planta en el jardín.,They use a ruler to measure how much the plant in the garden has grown.,Ils utilisent une règle pour mesurer combien la plante dans le jardin a poussé.,Usano un righello per misurare quanto è cresciuta la pianta nel giardino.,Usam uma régua para medir quanto a planta no jardim cresceu.
correr,to run,courir,correre,correr,Los niños corren junto con el canguro para mejorar su resistencia.,The children run alongside the kangaroo to improve their endurance.,Les enfants courent avec le kangourou pour améliorer leur endurance.,I bambini corrono insieme al canguro per migliorare la loro resistenza.,As crianças correm junto com o canguru para melhorar a resistência.
aprender,to learn,apprendre,imparare,aprender,Aprenden a hacer pan saludable con el chef tortuga.,They learn to make healthy bread with the turtle chef.,Ils apprennent à faire du pain sain avec le chef tortue.,Imparano a fare il pane sano con lo chef tartaruga.,Aprendem a fazer pão saudável com o chef tartaruga.
crear,to create,créer,creare,criar,Crean una lista de actividades divertidas para el día.,They create a list of fun activities for the day.,Ils créent une liste d'activités amusantes pour la journée.,Creano una lista di attività divertenti per la giornata.,Criam uma lista de atividades divertidas para o dia.
entender,to understand,comprendre,capire,entender,El canguro les explica cómo entender las etiquetas nutricionales.,The kangaroo explains how to understand nutrition labels.,Le kangourou leur explique comment comprendre les étiquettes nutritionnelles.,Il canguro spiega come capire le etichette nutrizionali.,O canguru explica como entender os rótulos nutricionais.
compartir,to share,partager,condividere,compartilhar,Deciden compartir sus comidas favoritas entre todos.,They decide to share their favorite meals with everyone.,Ils décident de partager leurs plats préférés avec tout le monde.,Decidono di condividere i loro piatti preferiti con tutti.,Decidem compartilhar suas refeições favoritas com todos.
visitar,to visit,visiter,visitare,visitar,Visitan a un búho sabio para aprender más sobre presupuestos.,They visit a wise owl to learn more about budgeting.,Ils visitent un hibou sage pour en savoir plus sur les budgets.,Visitano un saggio gufo per imparare di più sui budget.,Visitam uma coruja sábia para aprender mais sobre orçamentos.
buscar,to search/look for,chercher,cercare,buscar,Buscan frutas exóticas en el mercado para una nueva receta.,They search for exotic fruits in the market for a new recipe.,Ils cherchent des fruits exotiques au marché pour une nouvelle recette.,Cercano frutti esotici al mercato per una nuova ricetta.,Procuram frutas exóticas no mercado para uma nova receita.
escribir,to write,écrire,scrivere,escrever,Escriben en sus diarios sobre lo que aprendieron hoy.,They write in their journals about what they learned today.,Ils écrivent dans leurs journaux sur ce qu'ils ont appris aujourd'hui.,Scrivono nei loro diari quello che hanno imparato oggi.,Escrevem em seus diários sobre o que aprenderam hoje.
enseñar,to teach,enseigner,insegnare,ensinar,El oso enseña a los niños cómo ahorrar dinero.,The bear teaches the children how to save money.,L'ours enseigne aux enfants comment économiser de l'argent.,L'orso insegna ai bambini come risparmiare denaro.,O urso ensina às crianças como economizar dinheiro.
tomar,to take,prendre,prendere,tomar,Toman agua fresca del río después de su entrenamiento.,They take fresh water from the river after their training.,Ils prennent de l'eau fraîche de la rivière après leur entraînement.,Prendono acqua fresca dal fiume dopo il loro allenamento.,Pegam água fresca do rio após o treino.
mirar,to look/watch,regarder,guardare,olhar,Miran un video educativo sobre ejercicios básicos.,They watch an educational video about basic exercises.,Ils regardent une vidéo éducative sur les exercices de base.,Guardano un video educativo sugli esercizi di base.,Assistem a um vídeo educativo sobre exercícios básicos.
cantar,to sing,chanter,cantare,cantar,Cantan una canción sobre frutas y verduras en el desayuno.,They sing a song about fruits and vegetables during breakfast.,Ils chantent une chanson sur les fruits et légumes au petit déjeuner.,Cantano una canzone su frutta e verdura durante la colazione.,Cantam uma música sobre frutas e verduras no café da manhã.
correr,to run,courir,correre,correr,Corren juntos al parque mientras cuentan historias.,They run together to the park while telling stories.,Ils courent ensemble au parc en se racontant des histoires.,Corrono insieme al parco mentre raccontano storie.,Correm juntos para o parque enquanto contam histórias.
bailar,to dance,danser,ballare,dançar,Bailan en una competencia organizada por el elefante.,They dance in a competition organized by the elephant.,Ils dansent dans une compétition organisée par l'éléphant.,Ballano in una competizione organizzata dall'elefante.,Dançam em uma competição organizada pelo elefante.
cocinar,to cook,cuisiner,cucinare,cozinhar,Cocinan una sopa saludable con zanahorias y espinacas.,They cook a healthy soup with carrots and spinach.,Ils cuisinent une soupe saine avec des carottes et des épinards.,Cucinano una zuppa sana con carote e spinaci.,Cozinham uma sopa saudável com cenouras e espinafre.
dormir,to sleep,dormir,dormire,dormir,Duermen bajo las estrellas después de un día lleno de aventuras.,They sleep under the stars after a day full of adventures.,Ils dorment sous les étoiles après une journée pleine d'aventures.,Dormono sotto le stelle dopo una giornata piena di avventure.,Dormem sob as estrelas após um dia cheio de aventuras.
limpiar,to clean,nettoyer,pulire,limpar,Limpian la cocina después de cocinar para el grupo.,They clean the kitchen after cooking for the group.,Ils nettoient la cuisine après avoir cuisiné pour le groupe.,Puliscono la cucina dopo aver cucinato per il gruppo.,Limpam a cozinha depois de cozinhar para o grupo.
escuchar,to listen,écouter,ascoltare,escutar,Escuchan los consejos del conejo sobre cómo ahorrar dinero.,They listen to the rabbit's advice on how to save money.,Ils écoutent les conseils du lapin sur comment économiser de l'argent.,Ascoltano i consigli del coniglio su come risparmiare denaro.,Escutam os conselhos do coelho sobre como economizar dinheiro.
pintar,to paint,peindre,dipingere,pintar,Pintan un mural colorido en el parque para inspirar a otros.,They paint a colorful mural in the park to inspire others.,Ils peignent une fresque colorée dans le parc pour inspirer les autres.,Dipingono un murale colorato nel parco per ispirare gli altri.,Pintam um mural colorido no parque para inspirar outros.
explorar,to explore,explorer,esplorare,explorar,Exploran una nueva ruta para sus caminatas matutinas.,They explore a new route for their morning walks.,Ils explorent un nouveau chemin pour leurs promenades matinales.,Esplorano un nuovo percorso per le loro passeggiate mattutine.,Exploram um novo trajeto para suas caminhadas matinais.
saltar,to jump,sauter,saltare,saltar,Saltan en un castillo inflable para hacer ejercicio.,They jump on an inflatable castle for exercise.,Ils sautent sur un château gonflable pour faire de l'exercice.,Saltano su un castello gonfiabile per fare esercizio.,Saltam em um castelo inflável para se exercitar.
aprender,to learn,apprendre,imparare,aprender,Aprenden nuevas recetas saludables en una clase de cocina.,They learn new healthy recipes in a cooking class.,Ils apprennent de nouvelles recettes saines dans un cours de cuisine.,Imparano nuove ricette sane in una lezione di cucina.,Aprendem novas receitas saudáveis em uma aula de culinária.
nadar,to swim,nager,nuotare,nadar,Nadan en el lago mientras practican respiración profunda.,They swim in the lake while practicing deep breathing.,Ils nagent dans le lac tout en pratiquant la respiration profonde.,Nuotano nel lago mentre praticano la respirazione profonda.,Nadam no lago enquanto praticam respiração profunda.
escribir,to write,écrire,scrivere,escrever,Escriben en sus diarios sobre sus logros del día.,They write in their journals about their achievements of the day.,Ils écrivent dans leurs journaux sur leurs réalisations de la journée.,Scrivono nei loro diari dei traguardi della giornata.,Escrevem em seus diários sobre as conquistas do dia.
abrir,to open,ouvrir,aprire,abrir,Abren un libro sobre la importancia de los nutrientes.,They open a book about the importance of nutrients.,Ils ouvrent un livre sur l'importance des nutriments.,Aprono un libro sull'importanza dei nutrienti.,Abrem um livro sobre a importância dos nutrientes.
enseñar,to teach,enseigner,insegnare,ensinar,Enseñan a otros niños a hacer ejercicios básicos en el parque.,They teach other children how to do basic exercises in the park.,Ils enseignent à d'autres enfants comment faire des exercices de base dans le parc.,Insegnano ad altri bambini a fare esercizi di base nel parco.,Ensinam a outras crianças a fazer exercícios básicos no parque.
construir,to build,construire,costruire,construir,Construyen un pequeño jardín para cultivar vegetales juntos.,They build a small garden to grow vegetables together.,Ils construisent un petit jardin pour cultiver des légumes ensemble.,Costruiscono un piccolo giardino per coltivare insieme le verdure.,Constroem um pequeno jardim para cultivar vegetais juntos.
celebrar,to celebrate,célébrer,celebrare,celebrar,Celebran sus logros con una fiesta saludable.,They celebrate their achievements with a healthy party.,Ils célèbrent leurs réussites avec une fête saine.,Celebrano i loro successi con una festa salutare.,Celebram suas conquistas com uma festa saudável.
decidir,to decide,décider,decidere,decidir,Deciden qué actividad física hacer al día siguiente.,They decide what physical activity to do the next day.,Ils décident quelle activité physique faire le lendemain.,Decidono quale attività fisica fare il giorno successivo.,Decidem qual atividade física fazer no dia seguinte.
recordar,to remember,se souvenir,ricordare,lembrar,Recuerdan el consejo del zorro sobre ahorrar una parte de sus ganancias.,They remember the fox's advice about saving part of their earnings.,Ils se souviennent du conseil du renard sur l'économie d'une partie de leurs gains.,Ricordano il consiglio della volpe di risparmiare parte dei loro guadagni.,Lembram do conselho da raposa sobre economizar parte de seus ganhos.
buscar,to search/look for,chercher,cercare,buscar,Buscan frutas frescas en el mercado local.,They look for fresh fruits at the local market.,Ils cherchent des fruits frais au marché local.,Cercano frutta fresca al mercato locale.,Buscam frutas frescas no mercado local.
compartir,to share,partager,condividere,compartilhar,Comparten una comida saludable con los amigos nuevos que conocieron en el parque.,They share a healthy meal with new friends they met at the park.,Ils partagent un repas sain avec de nouveaux amis qu'ils ont rencontrés au parc.,Condividono un pasto sano con i nuovi amici conosciuti al parco.,Compartilham uma refeição saudável com novos amigos que conheceram no parque.
comer,to eat,manger,mangiare,comer,Comen frutas y verduras frescas para sentirse llenos de energía.,They eat fresh fruits and vegetables to feel full of energy.,Ils mangent des fruits et légumes frais pour se sentir pleins d'énergie.,Mangiano frutta e verdura fresca per sentirsi pieni di energia.,Comem frutas e vegetais frescos para se sentirem cheios de energia.
preparar,to prepare,préparer,preparare,preparar,Preparan un plan para la próxima semana sobre cómo ahorrar dinero mientras comen sano.,They prepare a plan for the next week on how to save money while eating healthily.,Ils préparent un plan pour la semaine prochaine sur comment économiser de l'argent en mangeant sainement.,Preparano un piano per la prossima settimana su come risparmiare mangiando in modo sano.,Preparam um plano para a próxima semana sobre como economizar enquanto comem de forma saudável.
cuidar,to take care of,prendre soin de,prendersi cura di,cuidar,Cuidan de las plantas de su jardín para que crezcan fuertes.,They take care of their garden plants so they grow strong.,Ils prennent soin des plantes de leur jardin pour qu'elles poussent bien.,Si prendono cura delle piante del loro giardino per farle crescere forti.,Cuidam das plantas do jardim para que cresçam fortes.
escuchar,to listen,écouter,ascoltare,ouvir,Escuchan la historia del búho sobre cómo mantenerse motivados.,They listen to the owl's story about staying motivated.,Ils écoutent l'histoire du hibou sur comment rester motivés.,Ascoltano la storia del gufo su come rimanere motivati.,Ouvem a história da coruja sobre como manter a motivação.
jugar,to play,jouer,giocare,jogar,Juegan un juego de mesa sobre finanzas personales.,They play a board game about personal finances.,Ils jouent à un jeu de société sur les finances personnelles.,Giocano a un gioco da tavolo sulle finanze personali.,Jogam um jogo de tabuleiro sobre finanças pessoais.
saltar,to jump,sauter,saltare,saltar,Saltan en una clase de ejercicios en el gimnasio del pueblo.,They jump in an exercise class at the town's gym.,Ils sautent dans un cours d'exercices à la salle de sport du village.,Saltano in una lezione di esercizi in palestra.,Saltam em uma aula de exercícios na academia da cidade.
lavar,to wash,laver,lavare,lavar,Lavan sus manos antes de preparar los alimentos.,They wash their hands before preparing food.,Ils lavent leurs mains avant de préparer les aliments.,Si lavano le mani prima di preparare i cibi.,Lavam as mãos antes de preparar os alimentos.
dormir,to sleep,dormir,dormire,dormir,Duermen temprano para estar llenos de energía al día siguiente.,They sleep early to be full of energy the next day.,Ils dorment tôt pour être pleins d'énergie le lendemain.,Dormono presto per essere pieni di energia il giorno dopo.,Dormem cedo para estarem cheios de energia no dia seguinte.
ahorrar,to save,économiser,risparmiare,poupar,Ahorran monedas en un frasco especial para un proyecto grupal.,They save coins in a special jar for a group project.,Ils économisent des pièces dans un bocal spécial pour un projet de groupe.,Risparmiano monete in un barattolo speciale per un progetto di gruppo.,Poupam moedas em um frasco especial para um projeto em grupo.
aprender,to learn,apprendre,imparare,aprender,Aprenden sobre las propiedades saludables de los alimentos integrales.,They learn about the health properties of whole foods.,Ils apprennent les propriétés saines des aliments complets.,Imparano le proprietà salutari dei cibi integrali.,Aprendem sobre as propriedades saudáveis dos alimentos integrais.
escribir,to write,écrire,scrivere,escrever,Escriben en sus diarios sobre lo que comieron y cómo se sintieron.,They write in their journals about what they ate and how they felt.,Ils écrivent dans leurs journaux ce qu'ils ont mangé et comment ils se sentaient.,Scrivono nei loro diari ciò che hanno mangiato e come si sono sentiti.,Escrevem em seus diários sobre o que comeram e como se sentiram.
comprar,to buy,acheter,comprare,comprar,Compran frutas en el mercado local con el dinero ahorrado.,They buy fruits at the local market with their saved money.,Ils achètent des fruits au marché local avec l'argent économisé.,Comprano frutta al mercato locale con i soldi risparmiati.,Compram frutas no mercado local com o dinheiro economizado.
cantar,to sing,chanter,cantare,cantar,Cantan una canción sobre el reciclaje y el cuidado del medio ambiente.,They sing a song about recycling and taking care of the environment.,Ils chantent une chanson sur le recyclage et la protection de l'environnement.,Cantano una canzone sul riciclo e la cura dell'ambiente.,Cantam uma música sobre reciclagem e cuidado com o meio ambiente.
correr,to run,courir,correre,correr,Corren por la playa en una carrera amistosa con el canguro.,They run along the beach in a friendly race with the kangaroo.,Ils courent sur la plage dans une course amicale avec le kangourou.,Corrono sulla spiaggia in una corsa amichevole con il canguro.,Correm pela praia em uma corrida amigável com o canguru.
enseñar,to teach,enseigner,insegnare,ensinar,Enseñan a los niños más pequeños sobre cómo hacer ejercicios básicos.,They teach the younger kids how to do basic exercises.,Ils enseignent aux plus jeunes comment faire des exercices de base.,Insegnano ai bambini più piccoli come fare esercizi di base.,Ensinam às crianças mais novas como fazer exercícios básicos.
viajar,to travel,voyager,viaggiare,viajar,Viajan en bicicleta por el bosque para explorar nuevas rutas.,They travel by bike through the forest to explore new routes.,Ils voyagent à vélo à travers la forêt pour explorer de nouvelles routes.,Viaggiano in bicicletta attraverso la foresta per esplorare nuovi percorsi.,Viajam de bicicleta pela floresta para explorar novas rotas.
ganar,to win,gagner,vincere,ganhar,Ganan un premio por sus ideas creativas sobre el reciclaje.,They win an award for their creative ideas about recycling.,Ils gagnent un prix pour leurs idées créatives sur le recyclage.,Vincono un premio per le loro idee creative sul riciclo.,Ganham um prêmio por suas ideias criativas sobre reciclagem.
beber,to drink,boire,bere,beber,Beben agua con limón después de hacer ejercicio.,They drink lemon water after exercising.,Ils boivent de l'eau citronnée après avoir fait de l'exercice.,Bevono acqua con limone dopo aver fatto esercizio.,Bebem água com limão após se exercitarem.
organizar,to organize,organiser,organizzare,organizar,Organizan un picnic saludable para toda la comunidad.,They organize a healthy picnic for the entire community.,Ils organisent un pique-nique sain pour toute la communauté.,Organizzano un picnic salutare per tutta la comunità.,Organizam um piquenique saudável para toda a comunidade.
buscar,to search/look for,chercher,cercare,buscar,Buscan libros en la biblioteca sobre cómo cuidar el planeta.,They look for books in the library about how to take care of the planet.,Ils cherchent des livres à la bibliothèque sur comment protéger la planète.,Cercano libri in biblioteca su come prendersi cura del pianeta.,Procuram livros na biblioteca sobre como cuidar do planeta.
ahorrar,to save,économiser,risparmiare,poupar,Ahorran dinero evitando comprar alimentos procesados.,They save money by avoiding processed foods.,Ils économisent de l'argent en évitant les aliments transformés.,Risparmiano denaro evitando di comprare cibi lavorati.,Poupam dinheiro evitando comprar alimentos processados.
escuchar,to listen,écouter,ascoltare,escutar,Escuchan a un experto que habla sobre la importancia de las proteínas.,They listen to an expert talking about the importance of proteins.,Ils écoutent un expert parler de l'importance des protéines.,Ascoltano un esperto che parla dell'importanza delle proteine.,Escutam um especialista falar sobre a importância das proteínas.
bailar,to dance,danser,ballare,dançar,Bailan juntos como parte de una sesión divertida de ejercicios.,They dance together as part of a fun exercise session.,Ils dansent ensemble dans le cadre d'une séance d'exercice amusante.,Ballano insieme come parte di una divertente sessione di esercizi.,Dançam juntos como parte de uma sessão divertida de exercícios.
cocinar,to cook,cuisiner,cucinare,cozinhar,Cocinan una sopa con ingredientes frescos del jardín.,They cook a soup with fresh ingredients from the garden.,Ils cuisinent une soupe avec des ingrédients frais du jardin.,Cucinate una zuppa con ingredienti freschi dell'orto.,Cozinham uma sopa com ingredientes frescos do jardim.
descansar,to rest,se reposer,riposare,descansar,Descansan bajo un árbol después de una larga caminata.,They rest under a tree after a long walk.,Ils se reposent sous un arbre après une longue marche.,Riposano sotto un albero dopo una lunga passeggiata.,Descansam sob uma árvore depois de uma longa caminhada.
jugar,to play,jouer,giocare,jogar,Juegan a un juego de memoria sobre hábitos saludables.,They play a memory game about healthy habits.,Ils jouent à un jeu de mémoire sur les habitudes saines.,Giocano a un gioco di memoria sulle abitudini sane.,Jogam um jogo de memória sobre hábitos saudáveis.
decidir,to decide,décider,decidere,decidir,Deciden probar una nueva rutina de ejercicios por una semana.,They decide to try a new workout routine for a week.,Ils décident d'essayer une nouvelle routine d'exercices pendant une semaine.,Decidono di provare una nuova routine di allenamento per una settimana.,Decidem experimentar uma nova rotina de exercícios por uma semana.
olvidar,to forget,oublier,dimenticare,esquecer,Nunca olvidan llevar agua cuando van al parque a hacer ejercicio.,They never forget to bring water when going to the park to exercise.,Ils n'oublient jamais d'apporter de l'eau lorsqu'ils vont au parc pour faire de l'exercice.,Non dimenticano mai di portare l'acqua quando vanno al parco a fare esercizio.,Nunca esquecem de levar água quando vão ao parque para se exercitar.
intentar,to try,essayer,provare,tentar,"Intentan hacer yoga con la ayuda del canguro, que es muy flexible.","They try yoga with the help of the kangaroo, who is very flexible.","Ils essaient le yoga avec l'aide du kangourou, qui est très flexible.","Provano a fare yoga con l'aiuto del canguro, che è molto flessibile.","Tentam fazer yoga com a ajuda do canguru, que é muito flexível."
enseñar,to teach,enseigner,insegnare,ensinar,Enseñan a otros niños cómo hacer un batido saludable.,They teach other kids how to make a healthy smoothie.,Ils enseignent à d'autres enfants comment faire un smoothie sain.,Insegnano ad altri bambini come fare un frullato salutare.,Ensinam outras crianças a fazer um smoothie saudável.
disfrutar,to enjoy,profiter,godere,desfrutar,Disfrutan de un picnic lleno de frutas frescas y nueces.,They enjoy a picnic full of fresh fruits and nuts.,Ils profitent d'un pique-nique rempli de fruits frais et de noix.,Godono di un picnic pieno di frutta fresca e noci.,Desfrutam de um piquenique cheio de frutas frescas e nozes.
limpiar,to clean,nettoyer,pulire,limpar,Limpian la cocina después de cocinar juntos.,They clean the kitchen after cooking together.,Ils nettoient la cuisine après avoir cuisiné ensemble.,Pulisco la cucina dopo aver cucinato insieme.,Limpam a cozinha depois de cozinhar juntos.
cuidar,to take care of,prendre soin,prendersi cura,cuidar,Cuidan del huerto comunitario para aprender sobre plantas.,They take care of the community garden to learn about plants.,Ils prennent soin du jardin communautaire pour en apprendre plus sur les plantes.,Si prendono cura dell'orto comunitario per imparare sulle piante.,Cuidam do jardim comunitário para aprender sobre as plantas.
escribir,to write,écrire,scrivere,escrever,Escriben sus metas de salud en un cuaderno especial.,They write their health goals in a special notebook.,Ils écrivent leurs objectifs de santé dans un cahier spécial.,Scrivono i loro obiettivi di salute in un quaderno speciale.,Escrevem seus objetivos de saúde em um caderno especial.
correr,to run,courir,correre,correr,Corren una carrera amistosa en el parque para mantenerse activos.,They run a friendly race in the park to stay active.,Ils courent une course amicale dans le parc pour rester actifs.,Corrono una gara amichevole nel parco per rimanere attivi.,Correm uma corrida amigável no parque para se manterem ativos.
aprender,to learn,apprendre,imparare,aprender,Aprenden sobre los beneficios de comer más fibra en su dieta.,They learn about the benefits of eating more fiber in their diet.,Ils apprennent les avantages de manger plus de fibres dans leur alimentation.,Imparano i benefici di mangiare più fibre nella loro dieta.,Aprendem sobre os benefícios de comer mais fibras na dieta.
preguntar,to ask,demander,chiedere,perguntar,Preguntan al médico sobre cómo mantenerse saludables en el invierno.,They ask the doctor how to stay healthy in winter.,Ils demandent au médecin comment rester en bonne santé en hiver.,Chiedono al dottore come rimanere in salute durante l'inverno.,Perguntam ao médico como se manterem saudáveis no inverno.
pensar,to think,penser,pensare,pensar,Piensan en nuevas actividades para hacer con sus amigos.,They think of new activities to do with their friends.,Ils pensent à de nouvelles activités à faire avec leurs amis.,Pensano a nuove attività da fare con i loro amici.,Pensam em novas atividades para fazer com os amigos.
compartir,to share,partager,condividere,compartilhar,Comparten sus recetas saludables con otros niños en la escuela.,They share their healthy recipes with other kids at school.,Ils partagent leurs recettes saines avec d'autres enfants à l'école.,Condividono le loro ricette salutari con altri bambini a scuola.,Compartilham suas receitas saudáveis com outras crianças na escola.
escuchar,to listen,écouter,ascoltare,escutar,Escuchan un podcast sobre cómo ahorrar dinero al comprar alimentos saludables.,They listen to a podcast about saving money while buying healthy foods.,Ils écoutent un podcast sur la façon d'économiser de l'argent en achetant des aliments sains.,Ascoltano un podcast su come risparmiare denaro acquistando cibi sani.,Escutam um podcast sobre como economizar dinheiro comprando alimentos saudáveis.
jugar,to play,jouer,giocare,jogar,Juegan un juego de preguntas sobre nutrición para aprender más.,They play a trivia game about nutrition to learn more.,Ils jouent à un jeu de questions sur la nutrition pour en apprendre davantage.,Giocano a un quiz sulla nutrizione per imparare di più.,Jogam um jogo de perguntas sobre nutrição para aprender mais.
caminar,to walk,marcher,camminare,caminhar,Caminan por el vecindario recogiendo basura para mantener el área limpia.,They walk through the neighborhood picking up trash to keep the area clean.,Ils marchent dans le quartier en ramassant des déchets pour maintenir la zone propre.,Camminano nel quartiere raccogliendo rifiuti per mantenere la zona pulita.,Caminham pelo bairro recolhendo lixo para manter a área limpa.
bailar,to dance,danser,ballare,dançar,Bailan juntos para mantenerse activos y divertirse.,They dance together to stay active and have fun.,Ils dansent ensemble pour rester actifs et s'amuser.,Ballano insieme per rimanere attivi e divertirsi.,Dançam juntos para se manterem ativos e se divertirem.
cocinar,to cook,cuisiner,cucinare,cozinhar,Cocinan una sopa de verduras siguiendo una receta simple.,They cook a vegetable soup following a simple recipe.,Ils cuisinent une soupe de légumes en suivant une recette simple.,Cucinano una zuppa di verdure seguendo una ricetta semplice.,Cozinham uma sopa de legumes seguindo uma receita simples.
buscar,to search/look for,chercher,cercare,buscar,Buscan información en internet sobre cómo reducir el desperdicio de alimentos.,They search online for ways to reduce food waste.,Ils cherchent des informations sur internet pour réduire le gaspillage alimentaire.,Cercano informazioni online su come ridurre lo spreco alimentare.,Buscam informações na internet sobre como reduzir o desperdício de alimentos.
contar,to count/tell,compter/raconter,contare/raccontare,contar,Cuentan sus historias de logros saludables en la reunión familiar.,They share their stories of healthy achievements at the family gathering.,Ils racontent leurs histoires de réussites saines lors de la réunion de famille.,Raccontano le loro storie di successi salutari durante la riunione di famiglia.,Contam suas histórias de conquistas saudáveis na reunião familiar.
nadar,to swim,nager,nuotare,nadar,Nadan en el lago como parte de su rutina de ejercicios.,They swim in the lake as part of their exercise routine.,Ils nagent dans le lac dans le cadre de leur routine d'exercices.,Nuotano nel lago come parte della loro routine di esercizi.,Nadam no lago como parte da sua rotina de exercícios.
comprar,to buy,acheter,comprare,comprar,Compran frutas y verduras frescas en el mercado local.,They buy fresh fruits and vegetables at the local market.,Ils achètent des fruits et légumes frais au marché local.,Comprano frutta e verdura fresca al mercato locale.,Compram frutas e vegetais frescos no mercado local.
abrir,to open,ouvrir,aprire,abrir,Abren un libro sobre el cuerpo humano para aprender más sobre la digestión.,They open a book about the human body to learn more about digestion.,Ils ouvrent un livre sur le corps humain pour en savoir plus sur la digestion.,Aprono un libro sul corpo umano per imparare di più sulla digestione.,Abrem um livro sobre o corpo humano para aprender mais sobre digestão.
escribir,to write,écrire,scrivere,escrever,Escriben una lista de metas de salud para el próximo mes.,They write a list of health goals for the next month.,Ils écrivent une liste d'objectifs de santé pour le mois prochain.,Scrivono una lista di obiettivi di salute per il prossimo mese.,Escrevem uma lista de metas de saúde para o próximo mês.
correr,to run,courir,correre,correr,Corren en el parque para mejorar su resistencia.,They run in the park to improve their endurance.,Ils courent dans le parc pour améliorer leur endurance.,Corrono nel parco per migliorare la loro resistenza.,Correm no parque para melhorar sua resistência.
usar,to use,utiliser,usare,usar,Usan una aplicación para registrar sus hábitos alimenticios.,They use an app to track their eating habits.,Ils utilisent une application pour enregistrer leurs habitudes alimentaires.,Usano un'app per monitorare le loro abitudini alimentari.,Usam um aplicativo para registrar seus hábitos alimentares.
aprender,to learn,apprendre,imparare,aprender,Aprenden sobre la importancia de la hidratación en la escuela.,They learn about the importance of hydration at school.,Ils apprennent l'importance de l'hydratation à l'école.,Imparano l'importanza dell'idratazione a scuola.,Aprendem sobre a importância da hidratação na escola.
